start	end	rel_type
10	1	written_in
11	1	written_in
12	1	written_in
13	1	written_in
14	1	written_in
15	1	written_in
16	1	written_in
17	1	written_in
18	1	written_in
19	1	written_in
20	1	written_in
21	1	written_in
22	1	written_in
23	1	written_in
24	1	written_in
25	1	written_in
26	1	written_in
27	1	written_in
28	1	written_in
29	1	written_in
30	1	written_in
31	1	written_in
32	1	written_in
33	1	written_in
34	1	written_in
35	1	written_in
36	1	written_in
37	1	written_in
38	1	written_in
39	1	written_in
40	1	written_in
41	2	written_in
42	2	written_in
43	2	written_in
44	2	written_in
45	2	written_in
46	2	written_in
47	2	written_in
48	2	written_in
49	2	written_in
50	2	written_in
51	2	written_in
52	2	written_in
53	2	written_in
54	2	written_in
55	2	written_in
56	2	written_in
57	2	written_in
58	2	written_in
59	2	written_in
60	2	written_in
61	2	written_in
62	2	written_in
63	2	written_in
64	2	written_in
65	2	written_in
66	2	written_in
67	2	written_in
68	2	written_in
69	2	written_in
70	2	written_in
71	2	written_in
72	2	written_in
73	3	written_in
74	3	written_in
75	3	written_in
76	3	written_in
77	3	written_in
78	3	written_in
79	3	written_in
80	3	written_in
81	3	written_in
82	3	written_in
83	3	written_in
84	3	written_in
85	3	written_in
86	3	written_in
87	3	written_in
88	3	written_in
89	3	written_in
90	3	written_in
91	3	written_in
92	3	written_in
93	3	written_in
94	3	written_in
95	3	written_in
96	3	written_in
97	3	written_in
98	3	written_in
99	3	written_in
100	3	written_in
101	3	written_in
102	3	written_in
103	3	written_in
104	3	written_in
105	3	written_in
106	3	written_in
107	3	written_in
108	3	written_in
109	3	written_in
110	4	written_in
111	4	written_in
112	4	written_in
113	4	written_in
114	4	written_in
115	4	written_in
116	4	written_in
117	4	written_in
118	4	written_in
119	4	written_in
120	4	written_in
121	4	written_in
122	4	written_in
123	4	written_in
124	4	written_in
125	4	written_in
126	4	written_in
127	4	written_in
128	4	written_in
129	4	written_in
130	4	written_in
131	4	written_in
132	4	written_in
133	4	written_in
134	4	written_in
135	4	written_in
136	4	written_in
137	4	written_in
138	4	written_in
139	4	written_in
140	4	written_in
141	4	written_in
142	4	written_in
143	4	written_in
144	4	written_in
145	4	written_in
146	4	written_in
147	4	written_in
148	4	written_in
149	4	written_in
150	4	written_in
151	4	written_in
152	4	written_in
153	4	written_in
154	4	written_in
155	4	written_in
156	4	written_in
157	4	written_in
158	4	written_in
159	5	written_in
160	5	written_in
161	5	written_in
162	5	written_in
163	5	written_in
164	5	written_in
165	5	written_in
166	5	written_in
167	5	written_in
168	5	written_in
169	5	written_in
170	5	written_in
171	5	written_in
172	5	written_in
173	5	written_in
174	5	written_in
175	5	written_in
176	5	written_in
177	5	written_in
178	5	written_in
179	5	written_in
180	5	written_in
181	5	written_in
182	5	written_in
183	6	written_in
184	6	written_in
185	6	written_in
186	6	written_in
187	6	written_in
188	6	written_in
189	6	written_in
190	6	written_in
191	6	written_in
192	6	written_in
193	6	written_in
194	6	written_in
195	6	written_in
196	6	written_in
197	6	written_in
198	6	written_in
199	6	written_in
200	6	written_in
201	6	written_in
202	6	written_in
203	6	written_in
204	6	written_in
205	7	written_in
206	7	written_in
207	7	written_in
208	7	written_in
209	7	written_in
210	7	written_in
211	7	written_in
212	7	written_in
213	7	written_in
214	7	written_in
215	7	written_in
216	7	written_in
217	7	written_in
218	7	written_in
219	7	written_in
220	7	written_in
221	7	written_in
222	7	written_in
223	7	written_in
224	7	written_in
225	7	written_in
226	7	written_in
227	7	written_in
228	7	written_in
229	7	written_in
230	7	written_in
231	7	written_in
232	7	written_in
233	7	written_in
234	7	written_in
235	7	written_in
236	7	written_in
237	7	written_in
238	7	written_in
239	7	written_in
240	7	written_in
241	7	written_in
242	7	written_in
243	7	written_in
244	7	written_in
245	7	written_in
246	7	written_in
247	8	written_in
248	8	written_in
249	8	written_in
250	8	written_in
251	8	written_in
252	8	written_in
253	8	written_in
254	8	written_in
255	8	written_in
256	8	written_in
257	8	written_in
258	8	written_in
259	8	written_in
260	9	written_in
261	9	written_in
262	9	written_in
263	9	written_in
264	9	written_in
270	51	wrote
271	167	wrote
273	151	wrote
274	264	wrote
279	158	wrote
288	215	wrote
291	238	wrote
292	10	wrote
292	12	wrote
292	22	wrote
295	165	wrote
296	213	wrote
297	181	wrote
298	115	wrote
299	105	wrote
301	251	wrote
302	14	wrote
303	200	wrote
307	150	wrote
